광역시도,시군구명,기타관광,레저스포츠,문화관광,쇼핑,자연관광,역사.체험관광,총 관광지 수,총면적,도시비율,임야면적 비율,농업용지 비율,해면비율,육지 도시화 정도,해면 도시화 정도,도시지역 인구 (명),1인당 주거지역 (㎡),1인당 상업지역 (㎡),1인당 공업지역 (㎡),지수,지역총면적(㎡),관광/여가/오락,생활서비스,소매,숙박,스포츠,음식,학문/교육
강원도,강릉시,28.08333333333333,56.75,79.58333333333333,24.08333333333333,69.66666666666667,53.083333333333336,311.25,1046881327.0,0.9937283645904594,79.56683050093221,9.75929824756536,0.0062716354095405,-84.39635555750056,0.627163540954055,188520.0,91.26,9.61,29.86,1.046,1040677544.0,1.3,1.3,1.6,6.1,1.2,1.9,1.4
강원도,고성군,18.83333333333333,35.416666666666664,27.83333333333333,7.583333333333333,51.583333333333336,18.08333333333333,159.33333333333334,661468000.0,0.999529103448693,82.52035533087012,8.309360089981677,0.000470896551307,-96.29121726221072,0.0470896551307092,14786.0,207.71,26.65,14.15,0.468,660766039.0,0.1,0.1,0.2,2.7,0.2,0.3,0.1
강원도,동해시,16.0,11.583333333333334,20.666666666666668,13.0,24.0,9.666666666666666,94.91666666666669,198166886.0,0.9099716185679982,67.48599208446964,6.8984562839626,0.0900283814320017,16.15912660604659,9.002838143200172,89092.0,148.32,25.13,100.46,0.862,180304741.0,0.4,0.5,0.6,1.3,0.3,0.7,0.4
강원도,삼척시,27.0,17.0,26.916666666666668,8.416666666666666,58.16666666666666,23.08333333333333,160.58333333333334,1191731991.0,1.0,87.48156732162441,5.956220235427077,0.0,-86.59368069275905,0.0,50633.0,197.3,19.69,153.17,0.697,1187827627.0,0.3,0.3,0.4,1.8,0.3,0.5,0.2
강원도,속초시,25.33333333333333,22.166666666666668,43.66666666666666,12.916666666666666,24.08333333333333,16.333333333333332,144.5,110783545.0,0.9545248348931242,69.93920983481797,7.354720414480327,0.0454751651068757,-28.605848458812183,4.547516510687576,82806.0,76.0,28.09,12.49,0.897,105769533.0,0.6,0.5,0.8,2.3,0.4,0.8,0.4
강원도,양구군,8.75,7.833333333333333,24.916666666666668,2.0,9.666666666666666,10.25,63.41666666666666,661814926.0,1.0,80.05926433276001,10.90752431896648,0.0,-98.87884063829652,0.0,11771.0,123.59,13.92,5.32,0.64,661981915.0,0.1,0.1,0.1,0.8,0.1,0.2,0.1
강원도,양양군,12.0,78.25,22.166666666666668,2.333333333333333,50.66666666666666,35.166666666666664,200.5833333333333,630570324.0,0.999561443046914,83.19497572803633,7.962019950688323,0.0004385569530861,-96.22848933816935,0.0438556953086171,12239.0,211.61,50.88,1.77,0.741,629750402.0,0.1,0.1,0.2,3.7,0.2,0.3,0.1
강원도,영월군,21.166666666666668,20.08333333333333,41.66666666666666,6.5,16.0,33.333333333333336,138.75,1127618097.0,1.0,84.69493018432817,8.422885483364142,0.0,-95.32041210225452,0.0,24500.0,143.62,22.59,43.91,0.716,1127330774.0,0.1,0.2,0.3,1.8,0.5,0.3,0.1
강원도,원주시,21.83333333333333,56.083333333333336,82.91666666666667,17.5,31.666666666666668,60.91666666666666,270.9166666666667,867781862.0,1.0,70.49155148163261,13.56446535177754,0.0,-79.64808925679066,0.0,328007.0,79.45,7.61,19.39,1.187,868281606.0,1.9,2.0,2.2,2.6,1.5,2.1,2.0
강원도,인제군,14.666666666666666,18.916666666666668,24.75,4.166666666666667,35.083333333333336,13.666666666666666,111.25,1646251662.0,1.0,89.40029577324734,4.120169750814198,0.0,-98.19723601894836,0.0,29037.0,117.52,19.18,7.53,0.724,1646193854.0,0.2,0.2,0.3,2.5,0.4,0.3,0.1
강원도,정선군,30.0,17.583333333333332,36.333333333333336,6.833333333333333,22.58333333333333,16.416666666666668,129.75,1219720000.0,1.0,85.38312170006232,8.711099514642704,0.0,-93.0241086478864,0.0,23054.0,217.88,48.6,26.52,0.606,1219878443.0,0.2,0.2,0.3,1.8,0.2,0.3,0.1
강원도,철원군,16.333333333333332,15.666666666666666,23.75,4.5,20.0,16.083333333333332,96.33333333333331,889434570.0,1.0,67.1577233612586,23.27512804005358,0.0,-94.05089460374808,0.0,38000.0,163.39,19.47,10.59,0.832,889702643.0,0.2,0.2,0.3,1.0,0.3,0.3,0.2
강원도,춘천시,27.75,83.0,82.16666666666667,20.916666666666668,36.75,48.083333333333336,298.6666666666667,1116412792.0,1.0,75.0367716137742,8.910100790031077,0.0,-39.931289680170565,0.0,261724.0,81.39,6.43,12.41,1.115,1116409317.0,1.6,1.4,1.4,3.1,1.7,1.6,1.5
